Season,TEAM,RK,HOME_GMS,HOME_TOTAL,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVERALL_GMS,OVERALL_AVG,OVERALL_PCT
2014-2015,2015 Attendance,2015 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-2015,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-2015,Bulls,1,41,875091,21343,NA,41,18404,4192.2,82,19874,9053.8
2014-2015,Cavaliers,2,41,843042,20562,NA,41,18915,4308.5,82,19738,8992.1
2014-2015,Mavericks,3,41,827702,20187,NA,41,17653,4021.1,82,18920,8619.4
2014-2015,NY Knicks,4,41,812292,19812,NA,41,17462,3977.6,82,18637,8490.3
2014-2015,Raptors,5,41,809824,19751,NA,41,17522,3991.3,82,18637,8490.3
2014-2015,Heat,6,41,808223,19712,NA,41,17703,4032.4,82,18708,8522.6
2014-2015,Warriors,7,41,803436,19596,NA,41,18312,2085.5,82,18954,4317.3
2014-2015,Trail Blazers,8,41,801733,19554,NA,41,17657,2011,82,18605,4238
2014-2015,Clippers,9,41,785892,19168,106.5,41,18079,NA,82,18623,206.9
2014-2015,Jazz,10,41,772059,18830,NA,41,17135,1951.5,82,17982,4096.1
2014-2015,Lakers,11,41,768244,18737,NA,41,17875,2035.8,82,18306,4169.8
2014-2015,Spurs,12,41,762855,18606,NA,41,17972,2046.9,82,18289,4165.9
2014-2015,Wizards,13,41,747796,18238,NA,41,18253,4157.7,82,18246,8312.1
2014-2015,Rockets,14,41,747412,18229,NA,41,17969,2046.6,82,18099,4122.7
2014-2015,Thunder,15,41,746323,18203,NA,41,17956,4090.1,82,18079,8236.4
2014-2015,Celtics,16,41,721350,17593,NA,41,17741,4041.1,82,17667,8048.6
2014-2015,Hawks,17,41,713909,17412,NA,41,17582,4004.9,82,17497,7971
2014-2015,Grizzlies,18,41,710502,17329,NA,41,18017,2052,82,17673,4025.6
2014-2015,Hornets,19,41,704886,17192,NA,41,17654,4021.3,82,17423,7937.3
2014-2015,Nets,20,41,698529,17037,NA,41,18039,4109,82,17538,7989.7
2014-2015,Suns,21,41,693862,16923,NA,41,17586,2002.9,82,17254,3930.3
2014-2015,Pacers,22,41,691434,16864,NA,41,17892,4075.5,82,17378,7916.8
2014-2015,Magic,23,41,688194,16785,NA,41,17585,4005.7,82,17185,7829
2014-2015,Pelicans,24,41,683757,16677,NA,41,17640,2009.1,82,17158,3908.4
2014-2015,Kings,25,41,680049,16586,NA,41,17515,1994.8,82,17050,3883.8
2014-2015,Pistons,26,41,625917,15266,NA,41,17866,4069.6,82,16566,7546.9
2014-2015,Bucks,27,41,611226,14907,NA,41,17180,3913.4,82,16044,7309.1
2014-2015,Nuggets,28,41,602707,14700,NA,41,17437,1986,82,16068,3660.2
2015-2016,2016 Attendance,2016 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-2016,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-2016,Cavaliers,1,41,843042,20562,NA,41,18910,4307.3,82,19736,8990.9
2015-2016,Mavericks,2,41,825901,20143,NA,41,17727,2018.9,82,18935,4313.1
2015-2016,Raptors,3,41,812863,19825,NA,41,17162,3909.3,82,18494,8425.2
2015-2016,NY Knicks,4,41,812292,19812,NA,41,18440,4200.4,82,19126,8713.1
2015-2016,Heat,5,41,809350,19740,NA,41,18044,4110.1,82,18892,8606.5
2015-2016,Warriors,6,41,803436,19596,NA,41,19134,2179.2,82,19365,4410.9
2015-2016,Trail Blazers,7,41,794085,19367,NA,41,17703,2016.3,82,18535,4222
2015-2016,Jazz,8,41,791489,19304,NA,41,17378,3958.4,82,18341,8355.6
2015-2016,Clippers,9,41,786910,19192,106.6,41,17792,NA,82,18492,205.5
2015-2016,Spurs,10,41,756445,18449,NA,41,17938,4085.9,82,18194,8288.4
2015-2016,Celtics,11,41,749076,18270,NA,41,17439,3972.4,82,17854,8133.9
2015-2016,Thunder,12,41,746323,18203,NA,41,18258,2079.5,82,18230,4152.6
2015-2016,Rockets,13,41,737244,17981,NA,41,17740,2020.5,82,17861,4068.4
2015-2016,Wizards,14,41,725426,17693,NA,41,17787,4051.5,82,17740,8081.7
2015-2016,Magic,15,41,719275,17543,NA,41,17175,3912.2,82,17359,7908.1
2015-2016,Hornets,16,41,716894,17485,NA,41,17784,4050.9,82,17634,8033.6
2015-2016,Kings,17,41,707526,17256,NA,41,17355,1976.6,82,17306,3941.9
2015-2016,Suns,18,41,701405,17107,NA,41,16881,1922.6,82,16994,3870.9
2015-2016,Pacers,19,41,690733,16847,NA,41,17851,4066.3,82,17349,7903.7
2015-2016,Hawks,20,41,690150,16832,NA,41,17611,4011.5,82,17222,7845.6
2015-2016,Pelicans,21,41,688549,16793,NA,41,17851,2033,82,17322,3945.7
2015-2016,Grizzlies,22,41,684603,16697,NA,41,17589,2003.3,82,17143,3905
2015-2016,Pistons,23,41,677138,16515,NA,41,17814,4057.7,82,17164,7819.6
2015-2016,Bucks,24,41,621808,15166,NA,41,17623,4014.2,82,16394,7468.6
2015-2016,Nets,25,41,620142,15125,NA,41,18106,4124.2,82,16615,7569.4
2015-2016,76ers,26,41,610121,14881,NA,41,17491,3984.3,82,16186,7373.8
2015-2016,Timberwolves,27,41,581178,14175,NA,41,17831,2030.9,82,16003,3645.2
2015-2016,Nuggets,28,41,577898,14095,NA,41,17751,2021.7,82,15923,3627
2016-2017,2017 Attendance,2017 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-2017,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-2017,Bulls,1,41,888882,21680,NA,41,18033,4107.6,82,19856,9045.8
2016-2017,Cavaliers,2,41,843042,20562,NA,41,19021,4332.7,82,19791,9016.2
2016-2017,Raptors,3,41,813050,19830,NA,41,17925,4083.1,82,18878,8600
2016-2017,Mavericks,4,41,811366,19789,NA,41,17519,1995.3,82,18654,4249
2016-2017,NY Knicks,5,41,810741,19774,NA,41,17927,4083.5,82,18850,8587.6
2016-2017,Jazz,6,41,806605,19673,NA,41,17212,1960.3,82,18442,4200.9
2016-2017,Heat,7,41,805400,19643,NA,41,17818,4058.7,82,18731,8533.1
2016-2017,Warriors,8,41,803436,19596,NA,41,19015,2165.6,82,19305,4397.4
2016-2017,Trail Blazers,9,41,792029,19317,NA,41,17555,1999.4,82,18436,4199.5
2016-2017,Clippers,10,41,782609,19088,106,41,17889,NA,82,18488,205.4
2016-2017,Lakers,11,41,776917,18949,NA,41,18191,2071.8,82,18570,4229.9
2016-2017,Celtics,12,41,760690,18553,NA,41,18313,4171.4,82,18433,8397.4
2016-2017,Spurs,13,41,755347,18423,NA,41,18131,2065,82,18277,4163.2
2016-2017,Thunder,14,41,746323,18203,NA,41,18373,2092.6,82,18288,4165.7
2016-2017,Magic,15,41,727875,17753,NA,41,17333,3948.3,82,17543,7992
2016-2017,Kings,16,41,721928,17608,NA,41,17489,1991.8,82,17548,3997.2
2016-2017,Hornets,17,41,710643,17332,NA,41,17563,4000.7,82,17448,7948.7
2016-2017,76ers,18,41,710557,17330,NA,41,17209,3919.8,82,17269,7867.4
2016-2017,Suns,19,41,708639,17283,NA,41,17618,2006.6,82,17451,3975
2016-2017,Wizards,20,41,697107,17002,NA,41,17949,4088.5,82,17476,7961.3
2016-2017,Rockets,21,41,695903,16973,NA,41,18140,2066,82,17556,3999.1
2016-2017,Pacers,22,41,684578,16697,NA,41,17848,4065.5,82,17272,7868.7
2016-2017,Grizzlies,23,41,677314,16519,NA,41,17655,2010.8,82,17087,3892.2
2016-2017,Pelicans,24,41,663099,16173,NA,41,18062,4114.3,82,17118,7798.2
2016-2017,Pistons,25,41,655141,15979,NA,41,17699,4031.6,82,16839,7671.2
2016-2017,Hawks,26,41,654306,15958,NA,41,17816,4058.2,82,16887,7693.3
2016-2017,Bucks,27,41,648952,15828,NA,41,17928,4083.6,82,16878,7688.9
2016-2017,Nets,28,41,632608,15429,NA,41,17755,4044.2,82,16592,7558.7
2017-2018,2018 Attendance,2018 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2018,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2018,Bulls,1,41,851824,20776,NA,41,18030,4106.9,82,19403,8839.3
2017-2018,Cavaliers,2,41,843042,20562,NA,41,19071,4238.1,82,19825,8921.6
2017-2018,76ers,3,41,833503,20329,NA,41,18012,4002.7,82,19185,8633.3
2017-2018,Raptors,4,41,813431,19839,NA,41,17673,4025.6,82,18756,8544.6
2017-2018,Mavericks,5,41,811453,19791,NA,41,17374,1930.5,82,18597,4184.5
2017-2018,Heat,6,41,785250,19631,NA,41,18177,4140.4,82,18895,8502.9
2017-2018,Warriors,7,41,803436,19596,NA,41,18884,2150.7,82,19240,4382.5
2017-2018,Trail Blazers,8,41,795328,19398,NA,41,17556,1999.5,82,18477,4208.8
2017-2018,NY Knicks,9,41,792608,19331,NA,41,18179,4039.8,82,18762,8443.2
2017-2018,Lakers,10,41,776327,18934,NA,41,18655,2072.8,82,18796,4229.3
2017-2018,Celtics,11,41,744960,18624,NA,41,18588,4130.7,82,18606,8269.4
2017-2018,Spurs,12,41,754562,18403,NA,41,18427,4197.4,82,18415,8389.4
2017-2018,Thunder,13,41,746323,18203,NA,41,18866,4297.5,82,18534,8443.7
2017-2018,Wizards,14,41,718946,17973,NA,41,17682,4027.6,82,17826,8021.8
2017-2018,Jazz,15,41,734806,17922,NA,41,17495,1992.5,82,17708,4033.7
2017-2018,Rockets,16,41,716008,17900,NA,41,18369,2092,82,18137,4081
2017-2018,Magic,17,41,715728,17893,NA,41,17651,4020.6,82,17770,7996.8
2017-2018,Kings,18,41,649571,17555,NA,41,17478,1990.6,82,17515,3795
2017-2018,Pistons,19,41,713945,17413,NA,41,17959,4090.7,82,17686,8057.1
2017-2018,Nuggets,20,41,702796,17141,NA,41,17871,2035.3,82,17506,3987.5
2017-2018,Timberwolves,21,41,699308,17056,NA,41,17850,2033,82,17453,3975.5
2017-2018,Clippers,22,41,697812,17019,94.6,41,17735,NA,82,17373,190.7
2017-2018,Suns,23,41,674655,16866,NA,41,17610,2005.7,82,17243,3879.7
2017-2018,Bucks,24,41,685303,16714,NA,41,18380,4186.7,82,17547,7994
2017-2018,Pelicans,25,41,673920,16437,NA,41,17911,2039.9,82,17174,3911.9
2017-2018,Hornets,26,41,671404,16375,NA,41,17623,4014.2,82,16999,7744.2
2017-2018,Pacers,27,41,658119,16051,NA,41,17749,3944.2,82,16889,7600.5
2017-2018,Grizzlies,28,41,653863,15947,NA,41,17348,1975.8,82,16648,3792.1
2018-2019,2019 Attendance,2019 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-2019,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-2019,76ers,1,41,838092,20441,NA,41,17895,4076.1,82,19168,8732.2
2018-2019,Bulls,2,41,823475,20084,NA,41,17822,4059.5,82,18953,8634.4
2018-2019,Mavericks,3,41,820569,20013,NA,41,18073,2058.4,82,19043,4337.8
2018-2019,Raptors,4,41,812822,19824,NA,41,18239,4154.7,82,19032,8670.3
2018-2019,Heat,5,41,805264,19640,NA,41,18176,4140.1,82,18908,8613.8
2018-2019,Warriors,6,41,803436,19596,NA,41,18790,2140,82,19193,4371.8
2018-2019,Trail Blazers,7,41,799345,19496,NA,41,17992,1999.2,82,18753,4219.6
2018-2019,Cavaliers,8,41,793337,19349,NA,41,17632,4016.2,82,18490,8423.7
2018-2019,NY Knicks,9,41,779087,19002,NA,41,17566,4001.3,82,18284,8329.5
2018-2019,Lakers,10,41,778877,18997,NA,41,18862,2148.2,82,18929,4311.8
2018-2019,Celtics,11,41,763584,18624,NA,41,18671,4253,82,18647,8495.1
2018-2019,Nuggets,12,41,756457,18450,NA,41,17474,1990.2,82,17962,4091.5
2018-2019,Spurs,13,41,750616,18307,NA,41,17381,1979.6,82,17844,4064.6
2018-2019,Jazz,14,41,750546,18306,NA,41,17517,1995,82,17911,4079.9
2018-2019,Thunder,15,41,746323,18203,NA,41,17866,2034.8,82,18034,4107.9
2018-2019,Rockets,16,41,740392,18058,NA,41,17921,2041,82,17989,4097.7
2018-2019,Bucks,17,41,721692,17602,NA,41,18185,4142.3,82,17893,8151.7
2018-2019,Magic,18,41,720024,17561,NA,41,17659,4022.5,82,17610,8022.6
2018-2019,Wizards,19,41,716996,17487,NA,41,17509,3988.3,82,17498,7971.6
2018-2019,Clippers,20,41,710327,17325,96.3,41,17233,NA,82,17279,192
2018-2019,Kings,21,41,700975,17096,NA,41,17199,1958.8,82,17148,3905.9
2018-2019,Pacers,22,41,689310,16812,NA,41,17957,3990.5,82,17377,7820
2018-2019,Hornets,23,41,676570,16501,NA,41,17648,4019.8,82,17074,7778.6
2018-2019,Pistons,24,41,675963,16486,NA,41,17819,4058.8,82,17153,7814.1
2018-2019,Pelicans,25,41,656183,16004,NA,41,17667,4024.2,82,16835,7669.7
2018-2019,Grizzlies,26,41,607564,15578,NA,41,17579,2002.1,82,16604,3689.8
2018-2019,Hawks,27,41,628440,15327,NA,41,17786,4051.3,82,16557,7542.7
2018-2019,Timberwolves,28,41,627543,15305,NA,41,17641,4018.4,82,16473,7504.7
2019-2020,2020 Attendance,2020 Attendance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-2020,TEAM,RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-2020,76ers,1,35,639491,20628,NA,38,17706,3246.3,73,19122,6799
2019-2020,Mavericks,2,38,682096,20061,NA,37,18249,NA,75,19169,NA
2019-2020,Raptors,3,36,633456,19795,NA,36,17789,3162.5,72,18792,6681.7
2019-2020,Heat,4,36,629771,19680,NA,37,18127,3323.3,73,18891,6822.1
2019-2020,Trail Blazers,5,36,608634,19633,NA,38,17941,1694.5,74,18748,3385.1
